player_id,player_name,birth_date,country,position,bats,throws,sign_date,signing_bonus_usd,source_updated_at
INT-0061,Yun-seo Dominguez,2007-09-13,Venezuela,RHP,R,R,2023-07-02,90000.0,2025-02-01
INT-0062,Carlos Torres,2002-06-15,Venezuela,LHP,R,L,2021-07-02,10000.0,2025-08-19
INT-0063,Hector Herrera,2003-01-14,Venezuela,OF,S,R,2020-07-02,72000.0,2025-09-06
INT-0064,Seong-hyun Benitez 2,2003-03-03,Dominican Republic,IF,L,R,2021-07-02,59000.0,2025-09-21
INT-0065,Ruben Choi,2004-06-27,Dominican Republic,OF,L,R,2022-07-02,453000.0,2025-03-06
INT-0066,Mateo Perez,2006-01-20,Venezuela,RHP,L,R,2023-07-02,245000.0,2025-02-25
INT-0067,Daniel Mori,2005-09-02,Dominican Republic,RHP,S,R,2021-07-02,59000.0,2025-04-04
INT-0068,Rafael Han,2000-08-05,Colombia,IF,L,R,2018-07-02,47000.0,2025-01-17
INT-0069,Diego Herrera 2,2004-08-06,CUB,RHP,L,L,2022-07-02,187000.0,2025-02-12
INT-0070,Daichi Torres,2002-07-12,Dominican Republic,OF,R,L,2019-07-02,45000.0,2025-03-05
INT-0071,Haruto Garcia,2001-03-10,Cuba,OF,L,R,2018-07-02,13000.0,2025-05-22
INT-0072,Omar Vargas,2005-11-24,Dominican Republic,OF,S,R,2024-07-02,36000.0,2025-08-20
INT-0073,Daichi Han,2002-08-16,Venezuela,LHP,R,L,2020-07-02,24000.0,2025-04-11
INT-0074,Isaac Ortega,2001-09-02,Dominican Republic,RHP,S,R,2018-07-02,94000.0,2025-05-06
INT-0075,Ruben Fernandez,2003-04-04,Mexico,C,R,R,2019-07-02,10000.0,2025-02-08
INT-0076,Hector Kim,1999-12-17,Cuba,OF,R,R,2018-07-02,67000.0,2025-08-23
INT-0077,Kaito Mori,1999-04-13,Mexico,RHP,R,R,2018-07-02,193000.0,2025-01-21
INT-0078,Adrian Kim,2002-02-07,Dominican Rep.,OF,R,R,2021-07-02,13000.0,2025-02-07
INT-0079,Kenji Yamamoto,2005-05-15,CUB,OF,S,R,2023-07-02,83000.0,2025-03-14
INT-0080,Gabriel Sanchez,2006-06-10,MEX,IF,R,R,2022-07-02,225000.0,2025-09-06
INT-0081,Diego Jimenez,2000-12-01,Dominican Republic,RHP,R,L,2018-07-02,65000.0,2025-02-23
INT-0082,Seong-hyun Nakamura 2,2006-12-19,Venezuela,RHP,L,R,2023-07-02,211000.0,2025-08-06
INT-0083,Emilio Quintero,2005-01-15,VEN,IF,R,R,2024-07-02,51000.0,2025-05-11
INT-0084,Daniel Quintero,2005-06-09,Venezuela,IF,R,R,2023-07-02,10000.0,2025-09-23
INT-0085,Rafael Benitez,2005-09-08,VZ,OF,R,R,2024-07-02,156000.0,2025-04-11
INT-0086,Kenji Valdez,2005-11-09,JPN,C,R,R,2022-07-02,95000.0,2025-03-19
INT-0087,Daniel Sato 2,2006-04-22,Japan,RHP,R,R,2022-07-02,18000.0,2025-07-04
INT-0088,Felix Lopez,2005-03-26,Japan,OF,L,R,2023-07-02,13000.0,2025-07-27
INT-0089,Mateo Ortega,2003-05-19,Japan,RHP,R,R,2022-07-02,216000.0,2025-07-14
INT-0090,Luis Sato,2002-11-26,Venezuela,RHP,L,R,2021-07-02,25000.0,2025-06-13
INT-0091,Ren Herrera,2001-04-13,Japan,LHP,R,L,2019-07-02,132000.0,2025-04-01
INT-0092,Alejandro Martinez,2001-02-19,South Korea,OF,R,R,2020-07-02,13000.0,2025-04-17
INT-0093,Kenji Quintero 2,2007-02-16,Panama,RHP,L,R,2025-07-02,20000.0,2025-02-12
INT-0094,Mateo Valdez,2006-08-01,Venezuela,IF,R,R,2025-07-02,327000.0,2025-02-12
INT-0095,Emilio Benitez,2001-10-19,Japan,LHP,L,L,2020-07-02,108000.0,2025-02-14
INT-0096,Esteban Han 2,2007-02-09,Dominican Republic,OF,R,R,2023-07-02,78000.0,2025-01-01
INT-0097,Hector Sato,1999-02-02,,RHP,R,R,2018-07-02,92000.0,2025-06-07
INT-0098,Hector Kim 2,2005-06-09,Venezuela,IF,R,R,2022-07-02,23000.0,2025-02-05
INT-0099,Alejandro Park,2006-02-27,Venezuela,OF,S,R,2024-07-02,328000.0,2025-06-06
INT-0100,Marco Sato,1999-07-21,Dominican Republic,IF,L,R,2018-07-02,283000.0,2025-06-08
INT-0101,Gabriel Perez,2002-07-05,South Korea,OF,L,R,2019-07-02,156000.0,2025-04-01
INT-0102,Adrian Garcia,2006-03-23,Colombia,IF,R,R,2025-07-02,344000.0,2025-05-06
INT-0103,Gabriel Tanaka,2002-03-03,Dominican Republic,RHP,R,R,2019-07-02,48000.0,2025-05-10
INT-0104,Hector Jimenez,2006-11-01,Mexico,RHP,R,R,2025-07-02,10000.0,2025-09-21
INT-0105,Carlos Park,2002-01-06,Mexico,OF,R,L,2019-07-02,163000.0,2025-03-14
INT-0106,Mateo Sanchez,2006-05-22,Panama,LHP,L,L,2024-07-02,211000.0,2025-01-16
INT-0107,Rafael Navarro,2006-08-11,Venezuela,C,R,R,2025-07-02,33000.0,2025-03-18
INT-0108,Isaac Valdez,1999-05-15,Venezuela,LHP,R,L,2018-07-02,79000.0,2025-07-21
INT-0109,Nicolas Jimenez,2000-08-03,Cuba,OF,R,R,2018-07-02,256000.0,2025-06-02
INT-0110,Daichi Tanaka,2002-09-05,México,RHP,R,R,2021-07-02,16000.0,2025-09-11
INT-0111,Yun-seo Vargas 2,2002-10-05,Dominican Rep.,RHP,R,R,2019-07-02,43000.0,2025-09-24
INT-0112,Rafael Navarro 2,2003-06-07,Dominican Republic,OF,R,R,2021-07-02,10000.0,2025-08-22
INT-0113,Esteban Park,2005-11-02,D.R.,LHP,L,L,2021-07-02,43000.0,2025-02-11
INT-0114,Ji-ho Mori 2,2007-07-26,Dominican Republic,C,S,R,2023-07-02,23000.0,2025-03-22
INT-0115,Jorge Mendez 2,2007-11-24,Dominican Republic,IF,S,L,2025-07-02,22000.0,2025-06-02
INT-0116,Emilio Yamamoto,2002-01-09,Dominican Republic,OF,R,L,2021-07-02,33000.0,2025-08-16
INT-0117,Ren Ortega,2000-12-08,Venezuela,RHP,L,R,2018-07-02,130000.0,2025-05-23
INT-0118,Daniel Mendez,2004-02-25,Cuba,OF,L,R,2023-07-02,295000.0,2025-05-13
INT-0119,Yun-seo Ortega,2000-02-20,Venezuela,LHP,R,L,2018-07-02,251000.0,2025-03-05
INT-0120,Yun-seo Garcia,2002-07-18,Panamá,RHP,R,R,2021-07-02,18000.0,2025-02-16
INT-0121,Isaac Quintero,2006-03-14,MEX,IF,R,R,2025-07-02,952000.0,2025-04-12
INT-0122,Santiago Rojas,2000-07-12,Venezuela,OF,R,R,2018-07-02,331000.0,2025-09-05
INT-0123,Ren Quintero,2004-06-15,Dominican Rep.,RHP,R,R,2022-07-02,21000.0,2025-09-02
INT-0124,Kaito Vargas,2004-01-17,Dominican Republic,IF,L,R,2023-07-02,144000.0,2025-07-22
INT-0125,Kenji Perez,2005-08-09,,OF,R,R,2022-07-02,40000.0,2025-04-14
INT-0126,Alejandro Nakamura,2004-09-10,Venezuela,RHP,R,R,2020-07-02,120000.0,2025-01-26
INT-0127,Ji-ho Estrada,2001-07-06,D.R.,LHP,R,L,2020-07-02,155000.0,2025-08-04
INT-0128,Javier Jimenez,2005-07-23,Dominican Republic,RHP,L,R,2023-07-02,18000.0,2025-04-23
INT-0129,Felix Herrera,2001-06-10,,RHP,R,R,2018-07-02,14000.0,2025-07-09
INT-0130,Yun-seo Navarro,1999-12-10,Dominican Republic,IF,S,L,2018-07-02,10000.0,2025-05-22
INT-0131,Isaac Ramirez,2004-06-13,Dominican Republic,RHP,R,R,2021-07-02,36000.0,2025-02-22
INT-0132,Andres Choi,2000-11-05,Panama,OF,R,R,2018-07-02,59000.0,2025-06-09
INT-0133,Emilio Fernandez,2004-12-21,Dominican Republic,RHP,L,R,2021-07-02,40000.0,2025-09-25
INT-0134,Min-jun Estrada,2002-03-26,Japan,OF,R,R,2019-07-02,10000.0,2025-06-21
INT-0135,Rafael Ortega,2005-01-16,Cuba,RHP,L,R,2023-07-02,10000.0,2025-02-11
INT-0136,Hector Nakamura,2000-03-16,Venezuela,RHP,S,R,2018-07-02,12000.0,2025-06-11
INT-0137,Esteban Quintero,1999-10-27,Dominican Republic,IF,R,R,2018-07-02,458000.0,2025-02-25
INT-0138,Nicolas Lee,2000-04-08,D.R.,LHP,R,L,2018-07-02,10000.0,2025-03-01
INT-0139,Andres Fernandez,2000-03-11,MEX,OF,L,R,2019-07-02,189000.0,2025-01-17
INT-0140,Nicolas Kim,2000-12-03,D.R.,OF,L,R,2018-07-02,38000.0,2025-06-08
INT-0141,Jorge Dominguez 2,2005-07-14,Dominican Republic,C,L,R,2023-07-02,145000.0,2025-03-15
INT-0142,Ji-ho Garcia,1999-09-22,South Korea,OF,S,R,2018-07-02,1512000.0,2025-06-12
INT-0143,Santiago Han,2004-05-17,Dominican Republic,OF,L,R,2023-07-02,18000.0,2025-09-23
INT-0144,Omar Alvarez,2001-07-17,Dominican Republic,IF,R,L,2018-07-02,45000.0,2025-08-02
INT-0145,Isaac Nakamura,2001-09-20,Dominican Republic,OF,R,R,2020-07-02,157000.0,2025-04-26
INT-0146,Luis Yamamoto,2007-07-03,Mexico,IF,L,R,2024-07-02,37000.0,2025-09-16
INT-0147,Daniel Estrada,2005-12-23,Panama,OF,R,L,2022-07-02,31000.0,2025-01-02
INT-0148,Adrian Estrada,1999-10-02,Cuba,IF,R,R,2018-07-02,18000.0,2025-02-13
INT-0149,Andres Fernandez 2,2002-02-21,KOR,RHP,R,R,2018-07-02,47000.0,2025-02-09
INT-0150,Min-jun Garcia,2000-04-27,Japan,OF,L,R,2018-07-02,838000.0,2025-03-19
INT-0151,Santiago Tanaka,2005-06-02,Japan,RHP,R,R,2022-07-02,228000.0,2025-05-15
INT-0152,Alejandro Kim,1999-08-20,Venezuela,C,R,R,2018-07-02,70000.0,2025-07-14
INT-0153,Mateo Quintero 2,2007-12-14,Venezuela,C,R,R,2024-07-02,75000.0,2025-05-20
INT-0154,Ren Benitez,1999-12-27,Mexico,RHP,L,R,2018-07-02,42000.0,2025-03-25
INT-0155,Omar Torres 2,2002-12-22,South Korea,OF,S,L,2018-07-02,51000.0,2025-01-15
INT-0156,Hector Sato 2,2001-03-11,Cuba,OF,S,L,2019-07-02,108000.0,2025-06-22
INT-0157,Omar Jimenez,1999-07-05,Venezuela,IF,R,R,2018-07-02,34000.0,2025-04-06
INT-0158,Nicolas Choi,1999-10-27,Venezuela,RHP,R,R,2018-07-02,54000.0,2025-01-02
INT-0159,Daichi Vargas,1999-02-15,Dominican Republic,OF,S,R,2018-07-02,222000.0,2025-05-05
INT-0160,Santiago Han 2,2007-03-22,MEX,RHP,R,R,2025-07-02,10000.0,2025-07-10
INT-0161,Kaito Herrera,2003-09-10,Dominican Republic,LHP,L,L,2019-07-02,16000.0,2025-02-20
INT-0162,Alejandro Dominguez 2,2005-03-05,Venezuela,IF,L,L,2021-07-02,27000.0,2025-04-06
INT-0163,Santiago Quintero,2003-12-14,Dominican Republic,OF,R,R,2019-07-02,36000.0,2025-01-23
INT-0164,Alejandro Mori,2004-07-14,Mexico,C,R,R,2020-07-02,10000.0,2025-05-09
INT-0165,Daichi Mendez,2007-03-11,,LHP,L,L,2023-07-02,15000.0,2025-06-11
INT-0166,Emilio Choi,2003-12-04,Dominican Republic,IF,L,R,2020-07-02,10000.0,2025-03-02
INT-0167,Jorge Sanchez,2003-05-01,South Korea,LHP,L,L,2022-07-02,27000.0,2025-02-04
INT-0168,Isaac Han,2001-02-06,Venezuela,RHP,R,R,2019-07-02,61000.0,2025-03-08
INT-0169,Jorge Benitez,2001-08-21,Mexico,LHP,L,L,2018-07-02,81000.0,2025-01-11
INT-0170,Yun-seo Torres,2004-07-21,Mexico,RHP,R,R,2021-07-02,51000.0,2025-03-21
INT-0171,Kenji Lopez,2001-12-27,South Korea,IF,R,L,2020-07-02,52000.0,2025-02-01
INT-0172,Andres Ramirez,1999-06-05,Cuba,LHP,R,L,2018-07-02,111000.0,2025-01-03
INT-0173,Nicolas Perez,2007-12-27,,C,L,R,2024-07-02,89000.0,2025-03-15
INT-0174,Daichi Mendez 2,2000-01-11,Dominican Republic,LHP,R,L,2018-07-02,47000.0,2025-05-10
INT-0175,Javier Navarro,2004-05-03,,C,R,R,2023-07-02,40000.0,2025-05-04
INT-0176,Omar Herrera,2001-10-25,South Korea,RHP,R,R,2020-07-02,10000.0,2025-02-15
INT-0177,Seong-hyun Valdez,2002-01-02,Dominican Republic,IF,R,R,2021-07-02,11000.0,2025-04-08
INT-0178,Felix Garcia,2007-05-10,Venezuela,LHP,S,L,2024-07-02,92000.0,2025-04-26
INT-0179,Alejandro Torres,1999-10-02,Mexico,LHP,L,L,2018-07-02,104000.0,2025-07-09
INT-0180,Andres Quintero,2003-10-01,Dominican Republic,OF,L,R,2019-07-02,23000.0,2025-04-03
INT-0181,Min-jun Jimenez,2004-06-13,Venezuela,RHP,S,R,2021-07-02,94000.0,2025-07-09
INT-0182,Kaito Torres,2002-07-02,Venezuela,RHP,R,L,2018-07-02,736000.0,2025-01-22
INT-0183,Marco Rojas,2007-07-16,Cuba,RHP,R,R,2023-07-02,58000.0,2025-04-20
INT-0184,Felix Benitez,1999-01-14,México,OF,S,R,2018-07-02,24000.0,2025-03-09
INT-0185,Carlos Vargas 2,2003-02-20,Japan,C,R,L,2019-07-02,431000.0,2025-06-26
INT-0186,Isaac Martinez,2005-05-09,Venezuela,C,R,R,2021-07-02,116000.0,2025-01-10
INT-0187,Rafael Sato,2006-09-11,Dominican Republic,OF,R,R,2025-07-02,85000.0,2025-05-10
INT-0188,Nicolas Jimenez 2,2005-04-09,Venezuela,RHP,R,R,2023-07-02,44000.0,2025-03-27
INT-0189,Gabriel Torres,2002-01-20,COL,OF,R,R,2019-07-02,449000.0,2025-07-21
INT-0190,Adrian Torres,2004-08-26,Japan,OF,R,R,2022-07-02,77000.0,2025-02-24
INT-0191,Min-jun Sato,2007-05-20,Venezuela,RHP,R,R,2025-07-02,28000.0,2025-02-27
INT-0192,Diego Yamamoto,2004-04-19,Mexico,LHP,S,L,2020-07-02,46000.0,2025-03-21
INT-0193,Emilio Sanchez,1999-04-22,Venezuela,C,R,R,2018-07-02,11000.0,2025-01-05
INT-0194,Min-jun Navarro,1999-10-23,DOM,RHP,R,R,2018-07-02,71000.0,2025-04-27
INT-0195,Hector Garcia 2,2002-06-23,Dominican Republic,IF,L,R,2020-07-02,87000.0,2025-08-10
INT-0196,Nicolas Vargas,2005-01-14,DOM,RHP,L,R,2023-07-02,340000.0,2025-03-01
INT-0197,Kenji Benitez,2003-07-21,Cuba,RHP,R,R,2020-07-02,116000.0,2025-09-02
INT-0198,Gabriel Sanchez 2,2007-09-21,Colombia,IF,R,R,2024-07-02,113000.0,2025-07-07
INT-0199,Yun-seo Navarro 2,2000-08-16,Dominican Republic,OF,R,R,2018-07-02,156000.0,2025-03-21
INT-0200,Diego Mendez,1999-01-23,Dominican Republic,IF,S,R,2018-07-02,99000.0,2025-04-06
INT-0201,Mateo Dominguez,2000-10-19,Mexico,IF,R,R,2019-07-02,78000.0,2025-05-26
INT-0202,Nicolas Tanaka,2000-07-25,Panama,C,S,R,2018-07-02,90000.0,2025-01-06
INT-0203,Min-jun Kim,2007-09-03,Dominican Republic,OF,L,R,2023-07-02,28000.0,2025-05-09
INT-0204,Daichi Yamamoto,2000-08-12,Panama,IF,R,R,2018-07-02,15000.0,2025-08-16
INT-0205,Alejandro Benitez,2005-08-10,Venezuela,IF,R,R,2023-07-02,62000.0,2025-08-15
INT-0206,Ruben Choi 2,2002-08-05,Japan,RHP,R,R,2018-07-02,11000.0,2025-08-24
INT-0207,Alejandro Nakamura 2,2001-01-22,Mexico,LHP,R,L,2018-07-02,138000.0,2025-09-03
INT-0208,Esteban Martinez,2006-10-22,Cuba,LHP,S,L,2025-07-02,26000.0,2025-06-15
INT-0209,Ruben Valdez,2005-06-06,D.R.,OF,R,L,2021-07-02,28000.0,2025-06-26
INT-0210,Alejandro Valdez,2005-06-24,Japan,C,R,R,2021-07-02,13000.0,2025-09-06
INT-0211,Isaac Fernandez,2005-08-08,Mexico,LHP,L,L,2024-07-02,21000.0,2025-05-17
INT-0212,Santiago Sato,1999-12-25,Japan,RHP,R,R,2018-07-02,64000.0,2025-05-10
INT-0213,Seong-hyun Herrera,1999-12-12,Mexico,LHP,L,L,2018-07-02,623000.0,2025-07-26
INT-0214,Hector Lopez,2001-04-07,Japan,RHP,R,R,2018-07-02,291000.0,2025-03-11
INT-0215,Marco Benitez,1999-12-11,Dominican Republic,IF,L,R,2018-07-02,60000.0,2025-08-24
INT-0216,Daichi Dominguez,2001-11-10,Colombia,RHP,R,R,2018-07-02,237000.0,2025-01-11
INT-0217,Yun-seo Kim,2006-02-23,COL,IF,S,R,2023-07-02,52000.0,2025-08-19
INT-0218,Mateo Ramirez,1999-02-13,South Korea,RHP,L,R,2018-07-02,15000.0,2025-03-21
INT-0219,Andres Jimenez,2002-11-16,Venezuela,RHP,S,R,2021-07-02,301000.0,2025-02-12
INT-0220,Ren Valdez,2005-03-27,Venezuela,LHP,R,L,2021-07-02,245000.0,2025-03-13
INT-0221,Santiago Garcia,2005-09-23,Cuba,RHP,L,R,2024-07-02,83000.0,2025-01-18
INT-0222,Diego Choi,2001-10-11,Panamá,C,R,R,2019-07-02,10000.0,2025-03-23
INT-0223,Ren Ortega 2,2000-06-16,Venezuela,RHP,L,R,2019-07-02,14000.0,2025-03-11
INT-0224,Marco Sanchez 2,2000-06-22,Mexico,C,R,R,2019-07-02,710000.0,2025-06-08
INT-0225,Ji-ho Nakamura,2000-04-14,Dominican Republic,IF,S,R,2018-07-02,71000.0,2025-08-23
INT-0226,Nicolas Benitez,2006-09-19,VZ,OF,S,R,2024-07-02,178000.0,2025-04-05
INT-0227,Nicolas Sato,2001-03-23,Panama,RHP,R,R,2018-07-02,98000.0,2025-05-14
INT-0228,Daichi Lee,2002-03-07,Venezuela,C,R,R,2020-07-02,35000.0,2025-02-15
INT-0229,Alejandro Martinez 2,2006-03-02,Dominican Republic,C,R,R,2024-07-02,279000.0,2025-08-10
INT-0230,Marco Lee,2005-06-27,Dominican Republic,RHP,S,R,2021-07-02,69000.0,2025-09-24
INT-0231,Mateo Yamamoto,2002-08-21,Japan,IF,R,R,2021-07-02,294000.0,2025-01-23
INT-0232,Seong-hyun Mendez,2000-11-05,Dominican Republic,OF,R,R,2018-07-02,60000.0,2025-05-04
INT-0233,Ji-ho Dominguez,2001-03-21,Mexico,LHP,L,L,2019-07-02,34000.0,2025-07-03
INT-0234,Luis Nakamura,1999-07-15,Panama,OF,R,R,2018-07-02,316000.0,2025-05-17
INT-0235,Santiago Dominguez,2004-09-22,Dominican Republic,LHP,R,L,2020-07-02,58000.0,2025-05-16
INT-0236,Mateo Lopez,1999-12-21,Mexico,C,L,R,2018-07-02,29000.0,2025-03-06
INT-0237,Seong-hyun Park 2,2006-06-15,Japan,RHP,R,R,2023-07-02,109000.0,2025-06-02
INT-0238,Emilio Lee,2005-03-21,Venezuela,C,R,R,2021-07-02,94000.0,2025-03-12
INT-0239,Gabriel Park 2,2001-12-13,Venezuela,IF,R,R,2019-07-02,111000.0,2025-04-12
INT-0240,Seong-hyun Dominguez,2001-12-07,Venezuela,IF,R,R,2018-07-02,73000.0,2025-02-11
INT-0241,Hector Torres,2000-02-09,Dominican Republic,RHP,S,R,2018-07-02,134000.0,2025-07-04
INT-0242,Emilio Estrada,2004-08-15,Panama,IF,R,R,2023-07-02,14000.0,2025-04-26
INT-0243,Gabriel Estrada,2005-08-09,Panama,LHP,R,L,2024-07-02,40000.0,2025-05-15
INT-0244,Daniel Tanaka,2006-03-07,Venezuela,RHP,R,R,2025-07-02,68000.0,2025-06-02
INT-0245,Diego Vargas,2003-05-10,Japan,IF,L,R,2021-07-02,25000.0,2025-07-09
INT-0246,Ren Castillo,2000-12-23,Dominican Republic,RHP,R,R,2018-07-02,51000.0,2025-01-26
INT-0247,Takeshi Han,2000-02-13,Dominican Republic,OF,R,L,2019-07-02,43000.0,2025-02-22
INT-0248,Takeshi Mendez,2000-04-26,Dominican Republic,IF,R,R,2018-07-02,249000.0,2025-03-04
INT-0249,Felix Quintero,2000-08-19,Venezuela,OF,R,R,2018-07-02,328000.0,2025-02-02
INT-0250,Kaito Herrera 2,2007-02-06,Dominican Republic,IF,R,R,2025-07-02,70000.0,2025-08-18
INT-0251,Daniel Garcia,2004-10-18,Panama,RHP,L,R,2022-07-02,10000.0,2025-03-03
INT-0252,Min-jun Kim 2,2003-10-13,Dominican Republic,OF,R,R,2021-07-02,32000.0,2025-04-11
INT-0253,Isaac Nakamura 2,2000-04-12,Venezuela,IF,L,R,2018-07-02,67000.0,2025-04-07
INT-0254,Javier Herrera,2005-08-25,Panamá,IF,L,R,2021-07-02,81000.0,2025-04-21
INT-0255,Emilio Mendez,2005-12-22,Venezuela,IF,L,R,2021-07-02,69000.0,2025-05-17
